iter	Passed	Remaining
411	3337	4763
412	3345	4755
413	3353	4746
414	3360	4737
415	3368	4728
416	3376	4720
417	3384	4711
418	3391	4703
419	3399	4694
420	3406	4685
421	3413	4675
422	3420	4666
423	3428	4657
424	3435	4648
425	3443	4639
426	3450	4630
427	3457	4621
428	3464	4611
429	3472	4602
430	3479	4593
431	3487	4584
432	3494	4576
433	3503	4568
434	3510	4559
435	3517	4550
436	3524	4541
437	3532	4532
438	3539	4523
439	3547	4515
440	3555	4506
441	3563	4498
442	3570	4489
443	3578	4480
444	3585	4471
445	3593	4463
446	3600	4454
447	3607	4445
448	3615	4437
449	3624	4429
450	3633	4422
451	3643	4417
452	3652	4410
453	3661	4403
454	3670	4397
455	3679	4389
456	3688	4382
457	3696	4374
458	3704	4366
459	3713	4359
460	3720	4350
461	3728	4341
462	3735	4332
463	3742	4323
464	3751	4316
465	3759	4307
466	3766	4298
467	3773	4289
468	3781	4280
469	3788	4271
470	3796	4263
471	3803	4254
472	3811	4246
473	3818	4237
474	3826	4229
475	3833	4220
476	3842	4212
477	3849	4204
478	3857	4195
479	3863	4185
480	3871	4177
481	3878	4168
482	3886	4160
483	3893	4151
484	3900	4142
485	3908	4133
486	3916	4125
487	3924	4117
488	3932	4109
489	3939	4100
490	3947	4091
491	3954	4083
492	3961	4074
493	3968	4065
494	3975	4056
495	3983	4047
496	3990	4038
497	3997	4030
498	4006	4022
499	4013	4013
500	4021	4005
501	4028	3995
502	4035	3987
503	4042	3978
504	4050	3969
505	4057	3961
506	4065	3953
507	4072	3944
508	4079	3935
509	4087	3927
510	4094	3918
511	4103	3910
512	4110	3901
513	4118	3894
514	4126	3885
515	4133	3877
516	4141	3869
517	4150	3862
518	4157	3853
519	4165	3844
520	4172	3835
521	4179	3827
522	4186	3818
523	4193	3809
524	4201	3801
525	4208	3792
526	4215	3783
527	4222	3774
528	4229	3765
529	4237	3757
530	4244	3748
531	4252	3740
532	4259	3732
533	4266	3723
534	4273	3714
535	4281	3706
536	4289	3697
537	4296	3689
538	4303	3680
539	4311	3672
540	4318	3664
541	4326	3655
542	4333	3646
543	4340	3638
544	4348	3630
545	4356	3622
546	4363	3613
547	4370	3605
548	4378	3596
549	4386	3588
550	4393	3579
551	4400	3571
552	4408	3563
553	4416	3555
554	4423	3546
555	4430	3538
556	4437	3529
