iter	Logloss
164	0.445171071
165	0.4450652266
166	0.4449798631
167	0.4448431408
168	0.4447195387
169	0.4446373061
170	0.4446085407
171	0.4444969448
172	0.444392996
173	0.4442690372
174	0.4441302329
175	0.4440465867
176	0.4439838086
177	0.4438297051
178	0.4437174637
179	0.4435904672
180	0.443488822
181	0.4433832116
182	0.4432968732
183	0.4431798601
184	0.4431094954
185	0.4429839707
186	0.4429108129
187	0.4428347062
188	0.442734542
189	0.4426147014
190	0.4425315854
191	0.4424494476
192	0.4423636609
193	0.4422382081
194	0.442127235
195	0.4420633031
196	0.4419703776
197	0.4418211168
198	0.4416717256
199	0.44163831
200	0.4415214352
201	0.4414318781
202	0.4413563705
203	0.4412609613
204	0.441175295
205	0.4409952083
206	0.4408682215
207	0.4407763787
208	0.4406622549
209	0.4405609031
210	0.4404239012
211	0.4403200662
212	0.4402311526
213	0.4401137522
214	0.4400219273
215	0.4398642597
216	0.4397572727
217	0.4396594023
218	0.4395812641
219	0.4395002064
220	0.4393993662
221	0.4393177281
222	0.4392066042
223	0.4390321729
224	0.4388867248
225	0.4387795676
226	0.4386424499
227	0.4385647114
228	0.4384894625
229	0.4383329439
230	0.4382762759
231	0.4381054607
232	0.4380052838
233	0.4378880726
234	0.4377939713
235	0.437732939
236	0.4376546868
237	0.4375748229
238	0.4374882815
239	0.4373950242
240	0.4373039002
241	0.4372217333
242	0.4370870621
243	0.4369249298
244	0.4367969148
245	0.4367027147
246	0.4365838268
247	0.4364962575
248	0.4363877279
249	0.4361800575
250	0.4360724684
251	0.4359778661
252	0.43591785
253	0.4358316444
254	0.4357402258
255	0.4355862967
256	0.4354770953
257	0.4353952622
258	0.4353283902
259	0.4352281805
260	0.435142953
261	0.4350405478
262	0.4349449921
263	0.434870647
264	0.434784603
265	0.4346511042
266	0.4344852557
267	0.4343851748
268	0.4342844765
269	0.4340974573
270	0.4339893592
271	0.4339260283
272	0.4337881342
273	0.4337368049
274	0.4336118304
275	0.4335301436
276	0.4334191793
277	0.433335881
278	0.4332363304
279	0.4331187652
280	0.4330192237
281	0.4328745694
282	0.4327978404
283	0.4326612943
284	0.4325089975
285	0.4323982053
286	0.4323330296
287	0.4322638906
288	0.4321878726
289	0.4321202837
290	0.4320193773
291	0.4319381329
292	0.4318461178
293	0.4317828483
294	0.4316877329
295	0.4315969831
296	0.43148035
297	0.431384792
298	0.4313001299
299	0.4311721687
300	0.4309672188
301	0.4308825542
302	0.4307552577
303	0.4306398857
304	0.4305647279
305	0.4304799046
306	0.4303726459
307	0.4303029402
308	0.4302107396
309	0.4301179013
310	0.4300164423
311	0.4299087195
312	0.4296917239
313	0.4296116856
314	0.4294598929
315	0.4293763955
316	0.4293031109
317	0.4292111365
318	0.429090856
319	0.4289377165
320	0.4288771005
321	0.428801098
322	0.4286991733
323	0.4285475039
324	0.4283894293
325	0.4283146991
326	0.428226874
327	0.4281683387
328	0.4280509893
329	0.427988899
330	0.4278667463
331	0.4277064153
332	0.4276327286
333	0.427484251
334	0.4273436167
335	0.4272301577
336	0.4271096108
337	0.4269971333
338	0.426859524
339	0.4267069004
340	0.4266149284
341	0.4265428836
342	0.4264362478
343	0.4263753242
344	0.4262782227
345	0.426219584
346	0.4260709873
347	0.4260110615
348	0.4259428909
349	0.4257988664
350	0.4256363086
351	0.4254997933
352	0.4254914377
353	0.4253475519
354	0.4252187428
355	0.4250849262
356	0.4250234598
357	0.4249054473
358	0.4248302123
359	0.4246959215
360	0.4245894133
361	0.4245228404
362	0.4244349547
363	0.4243626931
364	0.4242851015
365	0.4241669285
366	0.4240543358
367	0.4239928266
368	0.4238747047
369	0.4237991616
370	0.4236735411
371	0.4234922889
372	0.4233496985
373	0.4232721629
374	0.4231198414
375	0.4230079714
376	0.4229240692
377	0.4228094231
378	0.4227011833
379	0.4226281444
380	0.4225251928
381	0.4224082127
382	0.4222822461
383	0.4221798355
384	0.42209364
385	0.4219629316
386	0.4218628102
387	0.4218015703
388	0.4216927532
389	0.4215678803
390	0.4214848133
391	0.4214342211
392	0.4212754999
393	0.4211501346
394	0.4210963574
395	0.4209939714
396	0.4208294818
397	0.4207316335
398	0.4206123124
399	0.420521756
400	0.4204252059
401	0.4203269901
402	0.420216532
403	0.4200964758
404	0.419983781
405	0.4198945972
406	0.4197391355
407	0.4196743347
408	0.4195932618
409	0.4194877619
410	0.4193955199
411	0.4193276054
412	0.4191684603
413	0.4190615624
414	0.4189572346
415	0.4188415721
416	0.4187155801
417	0.4186107966
418	0.4185173076
419	0.4184142418
420	0.4182991877
421	0.4182476147
422	0.4181643108
423	0.4181017145
424	0.41799392
425	0.4179005012
426	0.4178233909
427	0.4177403497
428	0.4176604793
429	0.417555211
430	0.4174648998
431	0.4174094608
432	0.4172796063
433	0.4171902767
434	0.4171079754
435	0.4169708013
436	0.4169131345
437	0.4168115074
438	0.4167384752
439	0.4166435859
440	0.4165551005
441	0.4164369226
442	0.4163593984
443	0.4162439663
444	0.4161026875
445	0.4159763981
446	0.41591479
447	0.4158415914
448	0.4157818064
449	0.4156720926
450	0.4155387144
451	0.4153915133
452	0.4153379895
453	0.4152359279
454	0.4151408943
455	0.4150740865
456	0.4149600794
457	0.4148495529
458	0.4147819119
459	0.4146583543
460	0.4145521589
461	0.4144929942
462	0.4143419331
463	0.414200978
464	0.4140853444
465	0.4139681116
466	0.4138717311
467	0.4137675781
468	0.4136573148
469	0.4136047127
470	0.4134895388
471	0.4133676143
472	0.4132790633
473	0.413228887
474	0.4131058063
475	0.4129943938
476	0.4129213157
477	0.4128548082
478	0.4127976312
479	0.4127373285
480	0.4126623207
481	0.4125792205
482	0.4125092716
483	0.4123860535
484	0.4123362172
485	0.4122275664
486	0.412151802
487	0.4120764623
488	0.412037579
489	0.4119506196
490	0.4118284772
491	0.4117200492
492	0.411631512
493	0.4115750526
494	0.4115192321
495	0.4114716962
496	0.4114010941
497	0.4113264665
498	0.4111820195
499	0.4110776315
500	0.4110165619
501	0.4109722073
502	0.4109061922
503	0.4107646881
504	0.4106670986
505	0.4105657455
506	0.4104606082
507	0.4104139119
508	0.4103546498
509	0.4102517809
510	0.4101846316
511	0.4100935771
512	0.4100404333
513	0.4099536853
514	0.4098951005
515	0.4098006111
516	0.4096851481
517	0.4095898298
518	0.4095433578
519	0.4094762531
520	0.4093861551
521	0.409363098
522	0.4092981628
523	0.4092265717
524	0.4091530518
525	0.4091114062
526	0.4090327212
527	0.4090276627
528	0.4089525203
529	0.4088392926
530	0.4087153797
531	0.408632785
532	0.4085240839
533	0.4084516429
534	0.4083913044
535	0.4083169907
536	0.4082052853
537	0.408103971
538	0.4079842137
539	0.4079258992
540	0.4078406017
541	0.4077120604
542	0.4076448242
543	0.4075979697
544	0.407506711
545	0.4073962819
546	0.4073072061
547	0.4072068402
548	0.4071351252
549	0.407043432
550	0.406976454
551	0.4069198555
552	0.4067617539
553	0.4066525124
554	0.4065552877
555	0.4064270566
556	0.4064224442
557	0.4063271398
558	0.406282628
559	0.4062046866
560	0.4061355656
561	0.4059717052
562	0.405878578
563	0.4058250451
564	0.4057719844
565	0.4056917148
566	0.4056269088
567	0.4055564463
568	0.4054781886
569	0.4053754037
570	0.4052921302
571	0.4052270169
572	0.4051825647
573	0.4051220301
574	0.4050564319
575	0.4050033802
576	0.4049079785
577	0.4048481107
578	0.4047850559
579	0.4046970867
580	0.4046248276
581	0.4045495019
582	0.4044712529
583	0.4043604858
584	0.4042985797
585	0.4042332528
586	0.4041360027
587	0.4040824332
588	0.4040292146
589	0.4039637467
590	0.4038712377
591	0.4038162649
592	0.4036798498
593	0.4036119428
594	0.4035246876
595	0.4034849061
596	0.4034012254
597	0.4033916922
598	0.4032832815
599	0.4032105092
600	0.4031135661
601	0.4030320602
602	0.4029616041
603	0.4028813951
604	0.4028031739
605	0.4027223952
606	0.4026491158
607	0.4025959955
608	0.4025431818
609	0.4024844213
610	0.4023402238
611	0.40227601
612	0.4021592009
613	0.4020421415
614	0.4019109469
615	0.4018051303
616	0.401713832
617	0.4015924383
618	0.4015154122
619	0.4014811501
620	0.4014231921
621	0.4013338691
622	0.4012649703
623	0.4012184345
624	0.401163566
625	0.4010906999
626	0.4010466655
627	0.4009719471
628	0.4008866859
629	0.4008260592
630	0.4007241053
631	0.4006773594
632	0.4005794113
633	0.4005075901
634	0.4004317506
635	0.4003355084
636	0.4002664728
637	0.4001885697
638	0.4001313227
639	0.4000695438
640	0.3999697601
641	0.3998942195
642	0.399840323
643	0.3997727994
644	0.399710498
645	0.399612709
646	0.3995601154
647	0.399455876
648	0.3993763674
649	0.3993315496
650	0.3992192666
651	0.3991673538
652	0.3991119792
653	0.3990442931
654	0.3989968819
655	0.3989399728
656	0.3988866871
657	0.3987711261
658	0.3987039076
659	0.3986465926
660	0.3985350539
661	0.3984724514
662	0.3984130257
663	0.3983844096
664	0.3982898035
665	0.3982146967
666	0.3981802842
667	0.3981362381
668	0.3980636765
669	0.3980149758
670	0.3979503898
671	0.3978596196
672	0.3977764042
673	0.3976706027
674	0.3976189834
675	0.3975474151
676	0.3974511138
677	0.3973552353
678	0.3972675888
679	0.3972099307
680	0.397150226
681	0.3970611549
682	0.3970187069
683	0.3969431457
684	0.3968832524
685	0.3967952482
686	0.3966475835
687	0.3965749124
688	0.3964383662
689	0.3963389177
690	0.3962774737
691	0.3961999883
692	0.3961655451
693	0.3961618492
694	0.3961258221
695	0.3960680362
696	0.3959672341
697	0.3959264079
698	0.3958436295
699	0.3957519687
700	0.3957074803
701	0.3956217563
702	0.3955794528
703	0.3955140188
704	0.395426843
705	0.3953373873
706	0.3952784493
707	0.3952037272
708	0.3951483216
709	0.3950552243
710	0.3949823012
711	0.3948920608
712	0.3948043112
713	0.3947553051
714	0.3946878811
715	0.3946406575
716	0.3945880791
717	0.3944675044
718	0.3944257575
719	0.3943591721
720	0.3943012596
721	0.3942236473
722	0.3941510381
723	0.3941183874
724	0.3940574704
725	0.3939692542
726	0.3939226534
727	0.3938539169
728	0.3937427038
729	0.3936649727
730	0.3935922801
731	0.3935355673
732	0.3934789186
733	0.3934212161
734	0.3933368002
735	0.3932771939
736	0.3932707732
737	0.3931283889
738	0.3929977732
739	0.392946688
740	0.3928518636
741	0.3927840028
742	0.392743512
743	0.3926816603
744	0.3926039651
745	0.3925243578
746	0.3924537562
747	0.3923983974
748	0.3923265147
749	0.392274178
750	0.3921830202
751	0.3921297173
752	0.392039962
753	0.3919642126
754	0.3918649197
755	0.391792899
756	0.3917068767
757	0.3916558132
758	0.3915937919
759	0.3915064337
760	0.3914192198
761	0.3913465254
762	0.3912685462
763	0.3912058142
764	0.3912014803
765	0.3911153172
766	0.3910601831
767	0.391006515
768	0.3909434688
769	0.3908596983
770	0.3907899684
771	0.3906937518
772	0.39062644
773	0.3905342008
774	0.3904102997
775	0.3903897503
776	0.3902880045
777	0.3902104477
778	0.3901115315
779	0.3900324206
780	0.3899522338
781	0.3898906309
782	0.3898067558
783	0.3897631526
784	0.3897142365
785	0.3896635889
786	0.3895762219
787	0.3894877004
788	0.3894303888
789	0.3893551978
790	0.3892821819
791	0.3892127669
792	0.389160133
793	0.389109486
794	0.3890250415
795	0.389000813
796	0.3889286327
797	0.3888327044
798	0.3887735128
799	0.3886542463
800	0.3885345182
801	0.3884993201
802	0.3884194341
803	0.3883162514
804	0.3882542802
805	0.3881884915
806	0.3880830315
807	0.388020399
808	0.3879473186
809	0.3878744844
810	0.3878171029
811	0.3877476882
812	0.3876690234
813	0.3875914641
814	0.3875030787
815	0.3873888231
816	0.3873211134
817	0.3872318549
818	0.3871238953
819	0.3870379707
820	0.3870220694
821	0.3870147443
822	0.3869506457
823	0.3868823796
824	0.3868137894
825	0.3867528676
826	0.3866808376
827	0.3866079131
828	0.386513525
829	0.3864338502
830	0.3863825949
831	0.3863263731
832	0.3862193929
833	0.3861473991
834	0.3860837494
835	0.3860302927
836	0.3859657371
837	0.3859166515
838	0.3858453216
839	0.3857699744
840	0.3857021289
841	0.3856149854
842	0.3855249321
843	0.385436499
844	0.3853765904
845	0.385315497
846	0.3852345316
847	0.3851539878
848	0.3850722615
849	0.3849827151
850	0.3848621708
851	0.3847932795
852	0.3847471665
853	0.3847115561
854	0.3846359505
855	0.3845798715
856	0.384472729
857	0.3844208432
858	0.3843701459
859	0.3843635756
860	0.3843299148
861	0.3842217535
862	0.3841586336
863	0.3840951029
864	0.3840568109
865	0.3839866644
866	0.3839207239
867	0.3838346512
868	0.3837707772
869	0.3837411072
870	0.3836482101
871	0.383592353
872	0.3835198534
873	0.3834686302
874	0.3833654418
875	0.3832710489
876	0.3831739051
877	0.3830986101
878	0.3830017789
879	0.3829586807
880	0.3828580914
881	0.3827551989
882	0.3826499421
883	0.3825935755
884	0.3825728522
885	0.3824855336
886	0.3824204819
887	0.3823574516
888	0.3822864952
889	0.3822011222
890	0.3821522577
891	0.382054796
892	0.3819579918
893	0.3818741429
894	0.3817629402
895	0.3816959501
896	0.3816222561
897	0.3815413578
898	0.3814733615
899	0.3813932039
900	0.3813271029
901	0.3812899842
902	0.38123777
903	0.3811790212
904	0.3811283085
905	0.3810568473
906	0.3809540688
907	0.3809205643
908	0.3808697592
909	0.3808278758
910	0.3807980948
911	0.3807163901
912	0.3806924619
913	0.3806243806
914	0.3805559514
915	0.3804793988
916	0.3804119436
917	0.380313768
918	0.3802561264
919	0.3801766471
920	0.3801040658
921	0.3800040821
922	0.3799485458
923	0.3798804975
924	0.3797739123
925	0.3796950737
926	0.3796434557
927	0.3795837806
928	0.379538644
929	0.3794990404
930	0.3794395435
931	0.3793673669
932	0.3792718655
933	0.3792263654
934	0.3791180817
935	0.3790703111
936	0.3790154238
937	0.3789698449
938	0.3789004807
939	0.3788374731
940	0.3787753333
941	0.3787105702
942	0.3786101628
943	0.3785505701
944	0.3784854326
945	0.3784199097
946	0.3783553162
947	0.3783344651
948	0.3782576232
949	0.3782045674
950	0.3781455608
951	0.3781037479
952	0.3780442454
953	0.3780049413
954	0.3779276092
955	0.3778740355
956	0.3778055493
957	0.3777312549
958	0.3776906811
959	0.3776246068
960	0.3775668593
961	0.3774636242
962	0.3774236716
963	0.3773724861
964	0.3773278354
965	0.3772935336
966	0.3772183478
967	0.3771718129
968	0.3771249887
969	0.3771013835
970	0.3770474372
971	0.3769879863
972	0.3769360764
973	0.3768638914
974	0.3767877542
975	0.3767205567
976	0.376683866
977	0.3766574628
978	0.3765914107
979	0.3765518858
980	0.376505311
981	0.3764462872
982	0.3764124262
983	0.3763621312
984	0.3762882209
985	0.3762366336
986	0.3761851639
987	0.3761410062
988	0.376108282
989	0.3760993806
990	0.3760187542
991	0.3759555612
992	0.3759022394
993	0.3758528557
994	0.3757851858
995	0.3757443335
996	0.3757090751
997	0.3756625571
998	0.3756110393
999	0.3755538419
